Date,PP01,Discharge,TX01,TX02,TX04,stno
2008/1/1,0.04,9.675925926,7.958333333,11,6.4,C0C460
2008/1/2,0,11.12037037,8.783333333,12.7,6.2,C0C460
2008/1/3,0.04,9.574074074,13.3125,18.7,9.4,C0C460
2008/1/4,0,15.43055556,13.60909091,19.2,10.1,C0C460
2008/1/5,0.18,14.53703704,13.425,16.7,10.9,C0C460
2008/1/6,0.04,11.42824074,16.93333333,21.2,14.8,C0C460
2008/1/7,0,13.49537037,18.02916667,22.8,15.2,C0C460
2008/1/8,0,10.77777778,18.8,22.5,16.2,C0C460
2008/1/9,0,12.45023148,18.9625,23.9,16.5,C0C460
2008/1/10,0,7.540509259,19.15416667,25.4,15.5,C0C460
2008/1/11,0,6.439814815,19.65833333,25.9,15.1,C0C460
2008/1/12,0.36,10.6099537,18.6625,24.1,15.3,C0C460
2008/1/13,4.78,12.42361111,13.71666667,15.6,12.2,C0C460
2008/1/14,3.32,9.269675926,12.1,13.6,10.8,C0C460
2008/1/15,4.33,9.927083333,13.46666667,18.6,10.9,C0C460
2008/1/16,2.11,12.58796296,11.2375,12.4,10,C0C460
2008/1/17,0.62,11.87268519,12.9875,18,10.8,C0C460
2008/1/18,0.9,11.71875,15.2625,20.7,12.3,C0C460
2008/1/19,0.12,6.913194444,17.45416667,22.4,14.3,C0C460
2008/1/20,0,12.15277778,17.3,24.3,13.2,C0C460
2008/1/21,0.04,13.45833333,15.12916667,18.3,13.7,C0C460
2008/1/22,0.08,8.465277778,15.01666667,16.8,13.6,C0C460
2008/1/23,0.16,8.167824074,14.3125,17.8,12.3,C0C460
2008/1/24,0.57,7.319444444,11.52083333,12.4,10.6,C0C460
2008/1/25,4.21,11.0775463,14.425,18.3,11.3,C0C460
2008/1/26,19.35,8.496527778,14.22083333,16.2,11.9,C0C460
2008/1/27,2.19,12.24537037,12.37916667,14.9,11.4,C0C460
2008/1/28,0.26,17.19907407,12.94583333,13.8,11.8,C0C460
2008/1/29,2.47,13.8275463,12.97916667,20.6,10.6,C0C460
2008/1/30,0.41,11.97685185,11.59583333,13.8,9.6,C0C460
2008/1/31,10.54,9.462962963,10.0125,11.4,9.2,C0C460
2008/2/1,0.53,17.64699074,12.775,17.4,10.3,C0C460
2008/2/2,2.6,12.33217593,11.2375,13.6,9.8,C0C460
2008/2/3,13.84,12.88194444,7.8375,9.6,6.7,C0C460
2008/2/4,2.98,21.94212963,11.80833333,13.7,9.2,C0C460
2008/2/5,19.82,15.81365741,12.38333333,15.6,10.2,C0C460
2008/2/6,3.61,24.46527778,9.0375,10.6,8.3,C0C460
2008/2/7,11.25,37.8912037,9.466666667,11.3,8.5,C0C460
